Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1920
	Source Height	960
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #2	Track Point #1	Feature Center
	Frame	X pixels	Y pixels
	4884	1110.61	633.469
	4885	1110.32	633.457
	4886	1109.64	633.445
	4887	1109.34	633.426
	4888	1108.68	633.426
	4889	1108.34	633.414
	4890	1107.73	633.414
	4891	1107.38	633.398
	4892	1106.8	633.402
	4893	1106.41	633.387
	4894	1105.88	633.391
	4895	1105.45	633.371
	4896	1104.95	633.379
	4897	1104.48	633.355
	4898	1104.05	633.367
	4899	1103.52	633.344
	4900	1103.14	633.352
	4901	1102.54	633.324
	4902	1102.2	633.328
	4903	1101.56	633.309
	4904	1101.28	633.309
	4905	1100.59	633.297
	4906	1100.34	633.285
	4907	1099.63	633.273
	4908	1099.34	633.266
	4909	1098.67	633.258
	4910	1099.6	633.277
	4911	1100.54	633.301
	4912	1101.48	633.324
	4913	1102.41	633.344
	4914	1103.35	633.363
	4915	1104.34	633.383
	4916	1105.24	633.402
	4917	1106.09	633.426
	4918	1106.93	633.465
	4919	1107.78	633.496
	4920	1108.68	633.527
	4921	1109.6	633.527
	4922	1110.54	633.551
	4923	1111.49	633.602
	4924	1112.42	633.656
	4925	1113.34	633.723
	4926	1114.34	633.801
	4927	1115.31	633.879
	4928	1116.18	633.965
	4929	1117	634.027
	4930	1117.84	634.145
	4931	1118.73	634.199
	4932	1119.64	634.246
	4933	1120.58	634.277
	4934	1121.53	634.301
	4935	1122.46	634.336
	4936	1123.39	634.363
	4937	1124.34	634.387
	4938	1125.32	634.406
	4939	1126.21	634.426
	4940	1127.06	634.445
	4941	1127.91	634.465
	4942	1128.78	634.496
	4943	1129.69	634.527
	4944	1130.62	634.527
	4945	1131.58	634.547
	4946	1132.53	634.59
	4947	1131.77	634.711
	4948	1131.28	634.875
	4949	1130.47	635.063
	4950	1129.7	635.227
	4951	1129.13	635.324
	4952	1128.41	635.371
	4953	1127.64	635.41
	4954	1126.97	635.449
	4955	1126.35	635.496
	4956	1125.58	635.543
	4957	1124.87	635.641
	4958	1124.34	635.773
	4959	1123.54	635.957
	4960	1122.79	636.152
	4961	1122.28	636.266
	4962	1121.48	636.332
	4963	1120.7	636.398
	4964	1120.15	636.43
	4965	1119.42	636.453
	4966	1118.63	636.527
	4967	1118.04	636.578
	4968	1117.35	636.707
	4969	1116.6	636.863
	4970	1115.93	637.027
	4971	1115.34	637.207
	4972	1114.56	637.297
	4973	1113.8	637.379
	4974	1113.29	637.406
	4975	1112.5	637.426
	4976	1111.71	637.508
	4977	1111.2	637.543
	4978	1110.43	637.656
	4979	1109.66	637.801
	4980	1109.11	637.996
	4981	1108.36	638.168
	4982	1107.62	638.293
	4983	1106.95	638.375
	4984	1106.34	638.402
	4985	1105.61	638.43
	4986	1104.89	638.488
	4987	1104.39	638.574
	4988	1103.69	638.672
	4989	1104.49	638.594
	4990	1105.05	638.48
	4991	1105.79	638.445
	4992	1106.6	638.434
	4993	1107.24	638.387
	4994	1107.88	638.328
	4995	1108.69	638.191
	4996	1109.41	638.016
	4997	1110.01	637.828
	4998	1110.75	637.676
	4999	1111.55	637.563
	5000	1112.14	637.504
	5001	1112.81	637.457
	5002	1113.63	637.438
	5003	1114.32	637.402
	5004	1114.92	637.363
	5005	1115.69	637.234
	5006	1116.43	637.082
	5007	1117.07	636.902
	5008	1117.75	636.734
	5009	1118.55	636.605
	5010	1119.22	636.547
	5011	1119.82	636.473
	5012	1120.64	636.441
	5013	1121.38	636.418
	5014	1121.97	636.383
	5015	1122.72	636.27
	5016	1123.48	636.125
	5017	1124.19	635.938
	5018	1124.8	635.77
	5019	1125.61	635.629
	5020	1126.32	635.566
	5021	1126.91	635.484
	5022	1127.7	635.445
	5023	1128.47	635.434
	5024	1129.08	635.395
	5025	1129.76	635.309
	5026	1130.54	635.18
	5027	1131.28	634.992
	5028	1131.82	634.816
	5029	1132.59	634.641
	5030	1132.56	634.633
	5031	1132.57	634.629
	5032	1132.56	634.621
	5033	1132.56	634.617
	5034	1132.57	634.613
	5035	1132.57	634.613
	5036	1132.56	634.613
	5037	1132.56	634.613
	5038	1132.55	634.609
	5039	1132.55	634.605
	5040	1132.54	634.602
	5041	1132.54	634.598
	5042	1132.54	634.598
	5043	1132.54	634.598
	5044	1132.54	634.594
	5045	1132.54	634.594
	5046	1132.54	634.594
	5047	1132.54	634.594
	5048	1132.54	634.594
	5049	1132.54	634.594
	5050	1132.53	634.594
	5051	1132.54	634.594
	5052	1132.53	634.594
	5053	1132.53	634.59
	5054	1132.53	634.594
	5055	1132.53	634.594
	5056	1132.53	634.594
	5057	1132.53	634.594
	5058	1132.53	634.598
	5059	1132.53	634.602
	5060	1132.53	634.602
	5061	1132.54	634.605
	5062	1132.53	634.605
	5063	1132.53	634.605
	5064	1132.53	634.605
	5065	1132.53	634.605
	5066	1132.53	634.605
	5067	1132.53	634.605
	5068	1132.53	634.602
	5069	1132.53	634.602
	5070	1132.53	634.598
	5071	1132.53	634.594
	5072	1132.53	634.594
	5073	1132.53	634.59
	5074	1132.53	634.594
	5075	1132.53	634.594
	5076	1132.53	634.594
